,title,authors,ratings,year,average_rating,text
98,Constantinople: The Forgotten Empire,Isaac Asimov,383,1970,1.9822702159928896,Title: Constantinople: The Forgotten Empire
101,"Of Time, Space, and Other Things",Isaac Asimov,377,1965,1.6923077093179923,"Title: Of Time, Space, and Other Things"
102,The Land of Canaan,Isaac Asimov,366,1971,1.0609876438326693,Title: The Land of Canaan
103,Momentos estelares de la ciencia,Isaac Asimov,369,1959,1.840388515598005,Title: Momentos estelares de la ciencia
104,The Shaping of England,Isaac Asimov,356,1969,1.2991897164470418,Title: The Shaping of England
105,Isaac Asimov\'s Treasury of Humor,Isaac Asimov,369,1971,1.5588030104727395,Title: Isaac Asimov\'s Treasury of Humor
106,"In Joy Still Felt: The Autobiography, 1954-1978",Isaac Asimov,325,1980,1.3846617859601178,"Title: In Joy Still Felt: The Autobiography, 1954-1978"
107,Asimov\'s Guide to the Bible: The Old Testament,Isaac Asimov,329,1967,1.330764607854531,Title: Asimov\'s Guide to the Bible: The Old Testament
109,The Relativity of Wrong,Isaac Asimov,318,1988,1.3502409783561855,Title: The Relativity of Wrong
110,Beginnings: The Story of Origins,Isaac Asimov,319,1987,1.0059157034676107,Title: Beginnings: The Story of Origins
114,Asimov on Astronomy,Isaac Asimov,301,1974,1.580083906884295,Title: Asimov on Astronomy
115,The Dead Past,Isaac Asimov,291,1956,1.8198271284545064,Title: The Dead Past
116,In the Beginning,Isaac Asimov,299,1981,1.4329894497702096,Title: In the Beginning
117,The Tragedy of the Moon,Isaac Asimov,277,1973,1.527123213542533,Title: The Tragedy of the Moon
118,Eight Stories from The Rest of the Robots ,Isaac Asimov,285,1964,1.0731510980550485,Title: Eight Stories from The Rest of the Robots 
119,A Choice of Catastrophes,Isaac Asimov,284,1979,1.466987865422427,Title: A Choice of Catastrophes
120,Asimov on Science Fiction,Isaac Asimov,279,1981,1.342126356156998,Title: Asimov on Science Fiction
123,Words from the Myths,Isaac Asimov,267,1961,1.6719221151178605,Title: Words from the Myths
125,Asimov\'s Guide to Science,Isaac Asimov,236,1972,1.8112158476967315,Title: Asimov\'s Guide to Science
126,The Best Mysteries Of Isaac Asimov,Isaac Asimov,245,1986,1.5659732626172085,Title: The Best Mysteries Of Isaac Asimov
127,The Fun They Had,Isaac Asimov,286,1951,1.7565873304991315,Title: The Fun They Had
128,The Best Science Fiction of Isaac Asimov,Isaac Asimov,233,1986,1.8887915808252456,Title: The Best Science Fiction of Isaac Asimov
130,"The Birth Of The United States, 1763 1816",Isaac Asimov,233,1973,1.8265727854153369,"Title: The Birth Of The United States, 1763 1816"
131,"Eu, Rob\xc3\xb4",Isaac Asimov,221,1950,1.7012139169745928,"Title: Eu, Rob\xc3\xb4"
132,The Roving Mind,Isaac Asimov,231,1983,1.589783366102254,Title: The Roving Mind
133,Asimov on Chemistry,Isaac Asimov,219,1974,1.6412113975733824,Title: Asimov on Chemistry
136,The Feeling of Power,Isaac Asimov,225,1958,1.171451521247143,Title: The Feeling of Power
137,La formaci\xc3\xb3n de Francia,Isaac Asimov,212,1972,1.7233260719194792,Title: La formaci\xc3\xb3n de Francia
140,"Through A Glass, Clearly",Isaac Asimov,215,1967,1.1051922152335345,"Title: Through A Glass, Clearly"
141,Asimov\'s Guide to the Bible: The New Testament,Isaac Asimov,197,1969,1.3151893923777496,Title: Asimov\'s Guide to the Bible: The New Testament
143,Asimov\'s Chronology of Science and Discovery,Isaac Asimov,184,1989,1.3639418181682093,Title: Asimov\'s Chronology of Science and Discovery
145,"Le grand livre des robots, Tome 1 : Pr\xc3\xa9lude \xc3\xa0 Trantor",Isaac Asimov,183,1990,1.036713527686025,"Title: Le grand livre des robots, Tome 1 : Pr\xc3\xa9lude \xc3\xa0 Trantor"
146,Reason,Isaac Asimov,198,1941,1.5269279376173022,Title: Reason
147,Mirror Image,Isaac Asimov,197,1972,1.9628759698063416,Title: Mirror Image
150,The Shaping of North America from Earliest Times to 1763,Isaac Asimov,194,1969,1.6142768667394871,Title: The Shaping of North America from Earliest Times to 1763
152,Is Anyone There?,Isaac Asimov,194,1956,1.9947175874890728,Title: Is Anyone There?
158,Opus 100,Isaac Asimov,182,1969,1.6810499881214014,Title: Opus 100
160,Grandes ideas de la ciencia,Isaac Asimov,167,1968,1.4261552163823747,Title: Grandes ideas de la ciencia
164,Franchise,Isaac Asimov,178,1955,1.7179929259447224,Title: Franchise
166,Far As Human Eye Could See,Isaac Asimov,155,1987,1.7434841811033692,Title: Far As Human Eye Could See
167,The Human Body: Its Structure and Operation,Isaac Asimov,149,1963,1.3602916695593454,Title: The Human Body: Its Structure and Operation
168,"Asimov Laughs Again: More Than 700 Jokes, Limericks and Anecdotes",Isaac Asimov,160,1992,1.5959214322763426,"Title: Asimov Laughs Again: More Than 700 Jokes, Limericks and Anecdotes"
169,La Ultima Pregunta y otros cuentos,Isaac Asimov,137,1990,1.7548197494108044,Title: La Ultima Pregunta y otros cuentos
173,Realm of numbers,Isaac Asimov,141,1959,1.242922788465984,Title: Realm of numbers
174,"Le grand livre des robots, Tome 2 : La gloire de Trantor",Isaac Asimov,132,1990,1.788156992356575,"Title: Le grand livre des robots, Tome 2 : La gloire de Trantor"
175,True Love,Isaac Asimov,150,1977,1.7108913483722277,Title: True Love
176,The Machine that Won the War,Isaac Asimov,154,1961,1.253657886119096,Title: The Machine that Won the War
180,Liar!,Isaac Asimov,139,1941,1.1400686323839442,Title: Liar!
181,Our Federal Union: The United States from 1816-1865,Isaac Asimov,133,1975,1.197305610948017,Title: Our Federal Union: The United States from 1816-1865
182,The Exploding Suns: The Secrets of the Supernovas,Isaac Asimov,127,1977,1.2864417416783027,Title: The Exploding Suns: The Secrets of the Supernovas
183,The Genetic Code,Isaac Asimov,137,1962,1.634270885739591,Title: The Genetic Code
184,Little Lost Robot,Isaac Asimov,133,1947,1.68536747111516,Title: Little Lost Robot
186,Adding a Dimension: Seventeen Essays on the History of Science,Isaac Asimov,122,1964,1.9108944382434585,Title: Adding a Dimension: Seventeen Essays on the History of Science
187,Sally,Isaac Asimov,135,1953,1.5726341336090672,Title: Sally
188,A Short History of Biology,Isaac Asimov,129,1964,1.681401644408779,Title: A Short History of Biology
189,The Beginning and the End,Isaac Asimov,127,1977,1.563312408989376,Title: The Beginning and the End
191,Isaac Asimov Presents The Great SF Stories 3: 1941,Isaac Asimov,124,1980,1.4164565732631038,Title: Isaac Asimov Presents The Great SF Stories 3: 1941
192,"Quasar, Quasar, Burning Bright",Isaac Asimov,125,1978,1.469260152423124,"Title: Quasar, Quasar, Burning Bright"
193,The Search for the Elements,Isaac Asimov,123,1962,1.6945116863228231,Title: The Search for the Elements
194,Evidence,Isaac Asimov,113,1946,1.8519415854451065,Title: Evidence
197,It\'s Such a Beautiful Day,Isaac Asimov,119,1954,1.4844057189361362,Title: It\'s Such a Beautiful Day
198,The World Of Carbon,Isaac Asimov,109,1958,1.3958865746018327,Title: The World Of Carbon
199,The Subatomic Monster,Isaac Asimov,121,1981,1.6998047403185557,Title: The Subatomic Monster
201,X Stands for Unknown,Isaac Asimov,115,1983,1.8036654303072903,Title: X Stands for Unknown
203,"Understanding Physics: Volume 1: Motion, Sound, and Heat",Isaac Asimov,105,1966,1.437183424855622,"Title: Understanding Physics: Volume 1: Motion, Sound, and Heat"
208,The Neutrino: Ghost Particle of the Atom,Isaac Asimov,106,1969,1.0474746400870838,Title: The Neutrino: Ghost Particle of the Atom
210,"Understanding Physics: Volume 2: Light, Magnetism and Electricity",Isaac Asimov,102,1966,1.7424833864520024,"Title: Understanding Physics: Volume 2: Light, Magnetism and Electricity"
211,The Ugly Little Boy [Short-story],Isaac Asimov,102,1958,1.0294258372421368,Title: The Ugly Little Boy [Short-story]
212,"Science, Numbers, And I",Isaac Asimov,105,1968,1.7056475406041909,"Title: Science, Numbers, And I"
213,Los lagartos terribles,Isaac Asimov,120,1989,1.692622498436295,Title: Los lagartos terribles
218,Eyes Do More Than See,Isaac Asimov,111,1965,1.938325997235316,Title: Eyes Do More Than See
219,Exploring The Earth And The Cosmos: The Growth And Future Of Human Knowledge,Isaac Asimov,106,1982,1.427860316732512,Title: Exploring The Earth And The Cosmos: The Growth And Future Of Human Knowledge
220,Jokester,Isaac Asimov,106,1956,1.5001382080336,Title: Jokester
225,De los n\xc3\xbameros y su historia,Isaac Asimov,102,1973,1.8559918316531976,Title: De los n\xc3\xbameros y su historia
227,Hostess,Isaac Asimov,101,1951,1.537769964750121,Title: Hostess
228,La Edad de Oro de la ciencia ficci\xc3\xb3n I,Isaac Asimov,102,1974,1.2913369995137207,Title: La Edad de Oro de la ciencia ficci\xc3\xb3n I
234,Opus 200,Isaac Asimov,103,1979,1.277837673498501,Title: Opus 200
2610,The Rest of the Robots ,Isaac Asimov,5216,1964,1.4946430686599887,Title: The Rest of the Robots 
2611,"Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot",Isaac Asimov,4773,1981,1.9947144818425648,"Title: Foundation / Foundation and Empire / Second Foundation / The Stars, Like Dust / The Naked Sun / I, Robot"
2612,Nine Tomorrows,Isaac Asimov,4943,1959,1.1111302852097178,Title: Nine Tomorrows
2613,The Martian Way and Other Stories,Isaac Asimov,4280,1955,1.8368372770747965,Title: The Martian Way and Other Stories
2615,Buy Jupiter and Other Stories,Isaac Asimov,3666,1975,1.784585940702461,Title: Buy Jupiter and Other Stories
2616,Azazel,Isaac Asimov,3588,1988,1.4009999729190263,Title: Azazel
2617,The Robot Novels: The Caves of Steel / The Naked Sun / The Robots of Dawn ,Isaac Asimov,2799,1952,1.887703560685039,Title: The Robot Novels: The Caves of Steel / The Naked Sun / The Robots of Dawn 
2620,Tales of the Black Widowers ,Isaac Asimov,2437,1974,1.4296038236950366,Title: Tales of the Black Widowers 
2621,"The Complete Stories, Vol. 2",Isaac Asimov,2162,1990,1.5901227963675373,"Title: The Complete Stories, Vol. 2"
2622,Youth,Isaac Asimov,2262,1952,1.1209120994703017,Title: Youth
2623,Fantastic Voyage II:  Destination Brain,Isaac Asimov,2225,1987,1.4425605667020882,Title: Fantastic Voyage II:  Destination Brain
2624,The Last Answer,Isaac Asimov,1907,1980,1.386552867600352,Title: The Last Answer
2626,Asimov\'s Mysteries,Isaac Asimov,1692,1968,1.9463642489732265,Title: Asimov\'s Mysteries
2628,The Edge of Tomorrow,Isaac Asimov,1178,1985,1.756410207362919,Title: The Edge of Tomorrow
2629,The Best of Isaac Asimov,Isaac Asimov,1091,1973,1.307594150630043,Title: The Best of Isaac Asimov
2630,More Tales of the Black Widowers ,Isaac Asimov,1122,1976,1.547539658292704,Title: More Tales of the Black Widowers 
2633,Understanding Physics,Isaac Asimov,926,1966,1.053405117217547,Title: Understanding Physics
2634,Murder at the ABA,Isaac Asimov,1010,1976,1.675145261383304,Title: Murder at the ABA
2635,Nightfall,Isaac Asimov,857,1941,1.0764028480504844,Title: Nightfall
2636,Casebook of the Black Widowers ,Isaac Asimov,879,1980,1.643261142954297,Title: Casebook of the Black Widowers 
2638,The Empire Novels ,Isaac Asimov,783,1952,1.2931542478009717,Title: The Empire Novels 
2639,The Early Asimov: Book One,Isaac Asimov,852,1972,1.4338247937450952,Title: The Early Asimov: Book One
